Region,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
Tunis,18,19,30,31,33,9,10,21,25,21.77777778
Nabeul ,23,24,28,33,38,8,10,23,32,24.33333333
Sousse,24,23,37,42,47,7,12,29,39,28.88888889
Monastir,24,45,40,52,58,11,14,37,46,36.33333333
Mahdia,19,25,42,44,48,8,20,35,40,31.22222222
Mednine,18,21,41,53,54,7,23,46,53,35.11111111
Gafsa,7,7,15,17,20,4,12,15,23,13.33333333
Kasserine,16,16,19,21,19,10,12,14,18,16.11111111
Bizerte,17,14,14,13,16,9,11,16,20,14.44444444
Jendouba,24,23,27,29,32,10,20,33,38,26.22222222
